,id,season,city,date,team1,team2,toss_winner,toss_decision,result,dl_applied,winner,win_by_runs,win_by_wickets,player_of_match,venue,umpire1,umpire2,team1_powerplay,team2_powerplay,average_SR_inning1,average_SR_inning2,average_RR_inning1,average_RR_inning2,team2_extras,team1_extras
391,392,2013,Bengaluru,2013-04-11,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,0,Royal Challengers Bangalore,0,8,CH Gayle,M Chinnaswamy Stadium,Asad Rauf,AK Chaudhary,44.0,43.0,1.2520325203252032,1.3859649122807018,7.512195121951219,8.31578947368421,6.0,10.0
392,393,2013,Pune,2013-04-11,Rajasthan Royals,Pune Warriors,Rajasthan Royals,bat,normal,0,Pune Warriors,0,7,AJ Finch,Subrata Roy Sahara Stadium,M Erasmus,K Srinath,44.0,64.0,1.1788617886178863,1.2758620689655173,7.073170731707317,7.655172413793104,7.0,6.0
393,394,2013,Delhi,2013-04-12,Delhi Capitals,Sunrisers Hyderabad,Delhi Capitals,bat,normal,0,Sunrisers Hyderabad,0,3,A Mishra,Feroz Shah Kotla,Aleem Dar,Subroto Das,29.0,38.0,0.912,0.9745762711864406,5.472,5.847457627118644,7.0,3.0
394,395,2013,Mumbai,2013-04-13,Mumbai Indians,Pune Warriors,Mumbai Indians,bat,normal,0,Mumbai Indians,41,0,RG Sharma,Wankhede Stadium,S Ravi,SJA Taufel,48.0,40.0,1.4878048780487805,1.1451612903225807,8.926829268292684,6.870967741935483,3.0,5.0
395,396,2013,Chennai,2013-04-13,Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,field,normal,0,Chennai Super Kings,0,4,RA Jadeja,"MA Chidambaram Stadium, Chepauk",Asad Rauf,AK Chaudhary,33.0,31.0,1.2992125984251968,1.3174603174603174,7.795275590551181,7.904761904761905,8.0,8.0
396,397,2013,Kolkata,2013-04-14,Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata Knight Riders,bat,normal,0,Kolkata Knight Riders,48,0,G Gambhir,Eden Gardens,M Erasmus,VA Kulkarni,48.0,39.0,1.4516129032258065,1.0731707317073171,8.709677419354838,6.439024390243903,8.0,12.0
397,398,2013,Jaipur,2013-04-14,Kings XI Punjab,Rajasthan Royals,Rajasthan Royals,field,normal,0,Rajasthan Royals,0,6,JP Faulkner,Sawai Mansingh Stadium,Aleem Dar,C Shamshuddin,34.0,48.0,1.0689655172413792,1.0588235294117647,6.413793103448277,6.352941176470589,10.0,9.0
398,399,2013,Chennai,2013-04-15,Pune Warriors,Chennai Super Kings,Pune Warriors,bat,normal,0,Pune Warriors,24,0,SPD Smith,"MA Chidambaram Stadium, Chepauk",Asad Rauf,AK Chaudhary,48.0,38.0,1.3032786885245902,1.1065573770491803,7.8196721311475414,6.639344262295082,8.0,2.0
399,400,2013,Chandigarh,2013-04-16,Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,0,Kings XI Punjab,4,0,MS Gony,"Punjab Cricket Association Stadium, Mohali",CK Nandan,SJA Taufel,35.0,45.0,1.2764227642276422,1.224,7.658536585365853,7.344,6.0,12.0
400,401,2013,Bengaluru,2013-04-16,Delhi Capitals,Royal Challengers Bangalore,Royal Challengers Bangalore,field,tie,0,Royal Challengers Bangalore,0,0,V Kohli,M Chinnaswamy Stadium,M Erasmus,VA Kulkarni,43.0,48.0,1.2258064516129032,1.2459016393442623,7.354838709677419,7.475409836065574,5.0,4.0
401,402,2013,Pune,2013-04-17,Sunrisers Hyderabad,Pune Warriors,Pune Warriors,field,normal,0,Sunrisers Hyderabad,11,0,A Mishra,Subrata Roy Sahara Stadium,Asad Rauf,AK Chaudhary,25.0,41.0,0.952,0.9473684210526315,5.712000000000001,5.684210526315789,5.0,0.0
402,403,2013,Jaipur,2013-04-17,Rajasthan Royals,Mumbai Indians,Rajasthan Royals,bat,normal,0,Rajasthan Royals,87,0,AM Rahane,Sawai Mansingh Stadium,Aleem Dar,C Shamshuddin,58.0,26.0,1.3984375,0.8141592920353983,8.390625,4.88495575221239,15.0,7.0
403,404,2013,Delhi,2013-04-18,Chennai Super Kings,Delhi Capitals,Chennai Super Kings,bat,normal,0,Chennai Super Kings,86,0,MEK Hussey,Feroz Shah Kotla,M Erasmus,VA Kulkarni,39.0,32.0,1.352,0.7614678899082569,8.112,4.568807339449541,9.0,4.0
404,405,2013,Hyderabad,2013-04-19,Kings XI Punjab,Sunrisers Hyderabad,Kings XI Punjab,bat,normal,0,Sunrisers Hyderabad,0,5,GH Vihari,"Rajiv Gandhi International Stadium, Uppal",HDPK Dharmasena,CK Nandan,36.0,33.0,1.0081967213114753,1.1140350877192982,6.049180327868853,6.684210526315789,7.0,6.0
405,406,2013,Kolkata,2013-04-20,Kolkata Knight Riders,Chennai Super Kings,Kolkata Knight Riders,bat,normal,0,Chennai Super Kings,0,4,RA Jadeja,Eden Gardens,Asad Rauf,AK Chaudhary,47.0,27.0,0.9834710743801653,1.0689655172413792,5.900826446280991,6.413793103448277,4.0,6.0
406,407,2013,Bengaluru,2013-04-20,Rajasthan Royals,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,0,Royal Challengers Bangalore,0,7,R Vinay Kumar,M Chinnaswamy Stadium,Aleem Dar,C Shamshuddin,31.0,48.0,0.9915254237288136,1.0789473684210527,5.949152542372881,6.473684210526316,0.0,16.0
407,408,2013,Delhi,2013-04-21,Mumbai Indians,Delhi Capitals,Mumbai Indians,bat,normal,0,Delhi Capitals,0,9,V Sehwag,Feroz Shah Kotla,HDPK Dharmasena,S Ravi,24.0,60.0,1.319672131147541,1.5566037735849056,7.918032786885246,9.339622641509433,3.0,4.0
408,409,2013,Chandigarh,2013-04-21,Pune Warriors,Kings XI Punjab,Kings XI Punjab,field,normal,0,Kings XI Punjab,0,7,DA Miller,"Punjab Cricket Association Stadium, Mohali",M Erasmus,K Srinath,48.0,55.0,1.4919354838709677,1.55,8.951612903225806,9.3,8.0,3.0
409,410,2013,Chennai,2013-04-22,Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,bat,normal,0,Chennai Super Kings,0,5,MEK Hussey,"MA Chidambaram Stadium, Chepauk",S Asnani,AK Chaudhary,55.0,58.0,1.4566929133858268,1.537190082644628,8.74015748031496,9.223140495867767,10.0,7.0
410,411,2013,Bengaluru,2013-04-23,Royal Challengers Bangalore,Pune Warriors,Pune Warriors,field,normal,0,Royal Challengers Bangalore,130,0,CH Gayle,M Chinnaswamy Stadium,Aleem Dar,C Shamshuddin,62.0,43.0,2.0546875,1.08130081300813,12.328125,6.487804878048781,11.0,4.0
411,412,2013,Dharamsala,2013-05-16,Kings XI Punjab,Delhi Capitals,Delhi Capitals,field,normal,0,Kings XI Punjab,7,0,DA Miller,Himachal Pradesh Cricket Association Stadium,HDPK Dharmasena,S Ravi,53.0,21.0,1.3902439024390243,1.3553719008264462,8.341463414634147,8.132231404958677,9.0,13.0
412,413,2013,Kolkata,2013-04-24,Kolkata Knight Riders,Mumbai Indians,Kolkata Knight Riders,bat,normal,0,Mumbai Indians,0,5,DR Smith,Eden Gardens,HDPK Dharmasena,S Ravi,61.0,42.0,1.3032786885245902,1.361344537815126,7.8196721311475414,8.168067226890757,6.0,4.0
413,414,2013,Chennai,2013-04-25,Sunrisers Hyderabad,Chennai Super Kings,Sunrisers Hyderabad,bat,normal,0,Chennai Super Kings,0,5,MS Dhoni,"MA Chidambaram Stadium, Chepauk",Aleem Dar,S Das,40.0,58.0,1.2926829268292683,1.3008130081300813,7.7560975609756095,7.804878048780488,8.0,6.0
414,415,2013,Kolkata,2013-04-26,Kings XI Punjab,Kolkata Knight Riders,Kings XI Punjab,bat,normal,0,Kolkata Knight Riders,0,6,JH Kallis,Eden Gardens,CK Nandan,S Ravi,45.0,45.0,1.2416666666666667,1.3274336283185841,7.45,7.964601769911505,5.0,12.0
415,416,2013,Jaipur,2013-04-27,Sunrisers Hyderabad,Rajasthan Royals,Sunrisers Hyderabad,bat,normal,0,Rajasthan Royals,0,8,JP Faulkner,Sawai Mansingh Stadium,VA Kulkarni,K Srinath,29.0,30.0,1.1162790697674418,1.3518518518518519,6.6976744186046515,8.11111111111111,11.0,2.0
416,417,2013,Mumbai,2013-04-27,Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians,bat,normal,0,Mumbai Indians,58,0,DR Smith,Wankhede Stadium,Asad Rauf,S Asnani,52.0,35.0,1.5772357723577235,1.096774193548387,9.463414634146341,6.580645161290322,9.0,11.0
417,418,2013,Chennai,2013-04-28,Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,0,Chennai Super Kings,14,0,MEK Hussey,"MA Chidambaram Stadium, Chepauk",Aleem Dar,SJA Taufel,67.0,63.0,1.639344262295082,1.4645669291338583,9.836065573770492,8.78740157480315,3.0,20.0
418,419,2013,Raipur,2013-04-28,Delhi Capitals,Pune Warriors,Pune Warriors,field,normal,0,Delhi Capitals,15,0,DA Warner,Shaheed Veer Narayan Singh International Stadium,CK Nandan,S Ravi,37.0,43.0,1.28125,1.2113821138211383,7.6875,7.2682926829268295,14.0,6.0
419,420,2013,Jaipur,2013-04-29,Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals,field,normal,0,Rajasthan Royals,0,4,SV Samson,Sawai Mansingh Stadium,M Erasmus,K Srinath,55.0,45.0,1.368,1.4297520661157024,8.208,8.578512396694215,10.0,5.0
420,421,2013,Mumbai,2013-04-29,Mumbai Indians,Kings XI Punjab,Mumbai Indians,bat,normal,0,Mumbai Indians,4,0,RG Sharma,Wankhede Stadium,Asad Rauf,AK Chaudhary,36.0,55.0,1.392,1.3492063492063493,8.352,8.095238095238095,8.0,13.0
421,422,2013,Pune,2013-04-30,Chennai Super Kings,Pune Warriors,Chennai Super Kings,bat,normal,0,Chennai Super Kings,37,0,MS Dhoni,Subrata Roy Sahara Stadium,S Das,SJA Taufel,29.0,46.0,1.3553719008264462,1.0241935483870968,8.132231404958677,6.14516129032258,4.0,6.0
422,423,2013,Hyderabad,2013-05-01,Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,bat,normal,0,Sunrisers Hyderabad,0,7,I Sharma,"Rajiv Gandhi International Stadium, Uppal",Asad Rauf,S Asnani,41.0,36.0,1.032,1.1711711711711712,6.192,7.027027027027027,7.0,3.0
423,424,2013,Raipur,2013-05-01,Kolkata Knight Riders,Delhi Capitals,Kolkata Knight Riders,bat,normal,0,Delhi Capitals,0,7,DA Warner,Shaheed Veer Narayan Singh International Stadium,HDPK Dharmasena,CK Nandan,37.0,34.0,1.088,1.2685185185185186,6.5280000000000005,7.611111111111111,7.0,2.0
424,425,2013,Chennai,2013-05-02,Chennai Super Kings,Kings XI Punjab,Chennai Super Kings,bat,normal,0,Chennai Super Kings,15,0,SK Raina,"MA Chidambaram Stadium, Chepauk",M Erasmus,VA Kulkarni,36.0,36.0,1.5245901639344261,1.425,9.147540983606557,8.55,3.0,3.0
425,426,2013,Pune,2013-05-02,Royal Challengers Bangalore,Pune Warriors,Royal Challengers Bangalore,bat,normal,0,Royal Challengers Bangalore,17,0,AB de Villiers,Subrata Roy Sahara Stadium,Aleem Dar,C Shamshuddin,30.0,39.0,1.5203252032520325,1.3709677419354838,9.121951219512194,8.225806451612902,12.0,6.0
426,427,2013,Kolkata,2013-05-03,Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals,bat,normal,0,Kolkata Knight Riders,0,8,YK Pathan,Eden Gardens,HDPK Dharmasena,CK Nandan,34.0,48.0,1.0476190476190477,1.2314814814814814,6.285714285714286,7.388888888888889,7.0,10.0
427,428,2013,Hyderabad,2013-05-04,Delhi Capitals,Sunrisers Hyderabad,Delhi Capitals,bat,normal,0,Sunrisers Hyderabad,0,6,DJG Sammy,"Rajiv Gandhi International Stadium, Uppal",Asad Rauf,S Asnani,26.0,41.0,0.6837606837606838,0.9418604651162791,4.102564102564102,5.651162790697674,6.0,3.0
428,429,2013,Bengaluru,2013-05-14,Royal Challengers Bangalore,Kings XI Punjab,Kings XI Punjab,field,normal,0,Kings XI Punjab,0,7,AC Gilchrist,M Chinnaswamy Stadium,HDPK Dharmasena,S Ravi,31.0,46.0,1.380952380952381,1.5575221238938053,8.285714285714286,9.345132743362832,7.0,8.0
429,430,2013,Mumbai,2013-05-05,Mumbai Indians,Chennai Super Kings,Mumbai Indians,bat,normal,0,Mumbai Indians,60,0,MG Johnson,Wankhede Stadium,HDPK Dharmasena,CK Nandan,32.0,32.0,1.1209677419354838,0.8229166666666666,6.725806451612903,4.9375,4.0,9.0
430,431,2013,Jaipur,2013-05-05,Pune Warriors,Rajasthan Royals,Pune Warriors,bat,normal,0,Rajasthan Royals,0,5,AM Rahane,Sawai Mansingh Stadium,C Shamshuddin,RJ Tucker,61.0,53.0,1.4015748031496063,1.4918032786885247,8.409448818897637,8.950819672131148,11.0,3.0
431,432,2013,Bengaluru,2013-04-09,Sunrisers Hyderabad,Royal Challengers Bangalore,Sunrisers Hyderabad,bat,normal,0,Royal Challengers Bangalore,0,7,V Kohli,M Chinnaswamy Stadium,S Ravi,SJA Taufel,40.0,47.0,1.288,1.4727272727272727,7.728000000000001,8.836363636363638,5.0,5.0
432,433,2013,Jaipur,2013-05-07,Delhi Capitals,Rajasthan Royals,Delhi Capitals,bat,normal,0,Rajasthan Royals,0,9,AM Rahane,Sawai Mansingh Stadium,Aleem Dar,RJ Tucker,42.0,49.0,1.232,1.3839285714285714,7.392,8.303571428571429,7.0,11.0
433,434,2013,Mumbai,2013-05-07,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,bat,normal,0,Mumbai Indians,65,0,SR Tendulkar,Wankhede Stadium,HDPK Dharmasena,S Ravi,41.0,38.0,1.3492063492063493,0.9545454545454546,8.095238095238095,5.7272727272727275,11.0,9.0
434,435,2013,Hyderabad,2013-05-08,Chennai Super Kings,Sunrisers Hyderabad,Sunrisers Hyderabad,field,normal,0,Chennai Super Kings,77,0,SK Raina,"Rajiv Gandhi International Stadium, Uppal",S Das,NJ Llong,50.0,49.0,1.7421875,1.1774193548387097,10.453125,7.064516129032258,10.0,4.0
435,436,2013,Chandigarh,2013-05-09,Kings XI Punjab,Rajasthan Royals,Rajasthan Royals,field,normal,0,Rajasthan Royals,0,8,KK Cooper,"Punjab Cricket Association Stadium, Mohali",HDPK Dharmasena,S Ravi,37.0,38.0,1.1788617886178863,1.2564102564102564,7.073170731707317,7.538461538461538,9.0,6.0
436,437,2013,Pune,2013-05-09,Kolkata Knight Riders,Pune Warriors,Kolkata Knight Riders,bat,normal,0,Kolkata Knight Riders,46,0,G Gambhir,Subrata Roy Sahara Stadium,Asad Rauf,S Asnani,50.0,34.0,1.2258064516129032,0.8833333333333333,7.354838709677419,5.3,11.0,4.0
437,438,2013,Delhi,2013-05-10,Royal Challengers Bangalore,Delhi Capitals,Delhi Capitals,field,normal,0,Royal Challengers Bangalore,4,0,JD Unadkat,Feroz Shah Kotla,NJ Llong,K Srinath,40.0,49.0,1.4758064516129032,1.432,8.854838709677418,8.592,5.0,11.0
438,439,2013,Pune,2013-05-11,Pune Warriors,Mumbai Indians,Pune Warriors,bat,normal,0,Mumbai Indians,0,5,MG Johnson,Subrata Roy Sahara Stadium,Asad Rauf,AK Chaudhary,36.0,37.0,0.9256198347107438,1.0,5.553719008264462,6.0,4.0,4.0
439,440,2013,Chandigarh,2013-05-11,Sunrisers Hyderabad,Kings XI Punjab,Kings XI Punjab,field,normal,0,Sunrisers Hyderabad,30,0,PA Patel,"Punjab Cricket Association Stadium, Mohali",S Das,RJ Tucker,37.0,41.0,1.2396694214876034,0.9836065573770492,7.438016528925619,5.901639344262295,4.0,8.0
440,441,2013,Ranchi,2013-05-12,Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,0,Kolkata Knight Riders,0,5,JH Kallis,JSCA International Stadium Complex,NJ Llong,K Srinath,22.0,31.0,0.9504132231404959,0.9666666666666667,5.702479338842975,5.8,3.0,5.0
441,442,2013,Jaipur,2013-05-12,Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,field,normal,0,Rajasthan Royals,0,5,SR Watson,Sawai Mansingh Stadium,HDPK Dharmasena,CK Nandan,37.0,24.0,1.146341463414634,1.3846153846153846,6.878048780487805,8.307692307692308,8.0,1.0
442,443,2013,Delhi,2013-04-23,Delhi Capitals,Kings XI Punjab,Kings XI Punjab,field,normal,0,Kings XI Punjab,0,5,Harmeet Singh,Feroz Shah Kotla,VA Kulkarni,K Srinath,40.0,56.0,0.975609756097561,1.174757281553398,5.853658536585366,7.048543689320388,7.0,6.0
443,444,2013,Mumbai,2013-05-13,Sunrisers Hyderabad,Mumbai Indians,Sunrisers Hyderabad,bat,normal,0,Mumbai Indians,0,7,KA Pollard,Wankhede Stadium,AK Chaudhary,SJA Taufel,52.0,39.0,1.4126984126984128,1.5081967213114753,8.476190476190476,9.049180327868854,7.0,7.0
444,445,2013,Ranchi,2013-05-15,Pune Warriors,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,0,Pune Warriors,7,0,MK Pandey,JSCA International Stadium Complex,NJ Llong,K Srinath,42.0,33.0,1.4049586776859504,1.3252032520325203,8.429752066115702,7.951219512195122,1.0,15.0
445,446,2013,Chennai,2013-05-14,Chennai Super Kings,Delhi Capitals,Chennai Super Kings,bat,normal,0,Chennai Super Kings,33,0,MS Dhoni,"MA Chidambaram Stadium, Chepauk",C Shamshuddin,RJ Tucker,47.0,49.0,1.3548387096774193,1.0887096774193548,8.129032258064516,6.532258064516129,10.0,9.0
446,447,2013,Mumbai,2013-05-15,Mumbai Indians,Rajasthan Royals,Rajasthan Royals,field,normal,0,Mumbai Indians,14,0,AP Tare,Wankhede Stadium,Asad Rauf,S Asnani,49.0,29.0,1.3387096774193548,1.2258064516129032,8.032258064516128,7.354838709677419,7.0,16.0
447,448,2013,Chandigarh,2013-05-06,Royal Challengers Bangalore,Kings XI Punjab,Kings XI Punjab,field,normal,0,Kings XI Punjab,0,6,DA Miller,"Punjab Cricket Association Stadium, Mohali",VA Kulkarni,NJ Llong,58.0,41.0,1.52,1.7168141592920354,9.120000000000001,10.300884955752213,10.0,11.0
448,449,2013,Hyderabad,2013-05-17,Sunrisers Hyderabad,Rajasthan Royals,Sunrisers Hyderabad,bat,normal,0,Sunrisers Hyderabad,23,0,A Mishra,"Rajiv Gandhi International Stadium, Uppal",Asad Rauf,AK Chaudhary,21.0,33.0,1.096774193548387,0.9338842975206612,6.580645161290322,5.6033057851239665,15.0,6.0
449,450,2013,Dharamsala,2013-05-18,Kings XI Punjab,Mumbai Indians,Mumbai Indians,field,normal,0,Kings XI Punjab,50,0,Azhar Mahmood,Himachal Pradesh Cricket Association Stadium,HDPK Dharmasena,CK Nandan,35.0,51.0,1.4758064516129032,1.1271186440677967,8.854838709677418,6.762711864406779,7.0,9.0
450,451,2013,Pune,2013-05-19,Pune Warriors,Delhi Capitals,Pune Warriors,bat,normal,0,Pune Warriors,38,0,LJ Wright,Subrata Roy Sahara Stadium,NJ Llong,SJA Taufel,40.0,47.0,1.3983739837398375,1.0551181102362204,8.390243902439025,6.330708661417322,5.0,16.0
451,452,2013,Bengaluru,2013-05-18,Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,field,normal,0,Royal Challengers Bangalore,24,0,V Kohli,M Chinnaswamy Stadium,C Shamshuddin,RJ Tucker,76.0,56.0,2.12,1.64,12.719999999999999,9.84,5.0,2.0
452,453,2013,Hyderabad,2013-05-19,Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata Knight Riders,bat,normal,0,Sunrisers Hyderabad,0,5,PA Patel,"Rajiv Gandhi International Stadium, Uppal",Asad Rauf,S Asnani,33.0,45.0,1.056910569105691,1.1282051282051282,6.341463414634147,6.769230769230769,14.0,9.0
453,454,2013,Delhi,2013-05-21,Chennai Super Kings,Mumbai Indians,Chennai Super Kings,bat,normal,0,Chennai Super Kings,48,0,MEK Hussey,Feroz Shah Kotla,NJ Llong,RJ Tucker,47.0,56.0,1.6,1.263157894736842,9.6,7.578947368421052,1.0,5.0
454,455,2013,Delhi,2013-05-22,Sunrisers Hyderabad,Rajasthan Royals,Sunrisers Hyderabad,bat,normal,0,Rajasthan Royals,0,4,BJ Hodge,Feroz Shah Kotla,S Ravi,RJ Tucker,27.0,44.0,1.064516129032258,1.1440677966101696,6.387096774193548,6.864406779661016,6.0,4.0
455,456,2013,Kolkata,2013-05-24,Rajasthan Royals,Mumbai Indians,Rajasthan Royals,bat,normal,0,Mumbai Indians,0,4,Harbhajan Singh,Eden Gardens,C Shamshuddin,SJA Taufel,42.0,45.0,1.32,1.3739837398373984,7.920000000000001,8.24390243902439,14.0,10.0
456,457,2013,Kolkata,2013-05-26,Mumbai Indians,Chennai Super Kings,Mumbai Indians,bat,normal,0,Mumbai Indians,23,0,KA Pollard,Eden Gardens,HDPK Dharmasena,SJA Taufel,34.0,35.0,1.2032520325203253,0.984251968503937,7.219512195121951,5.905511811023621,5.0,9.0
457,458,2014,Abu Dhabi,2014-04-16,Kolkata Knight Riders,Mumbai Indians,Kolkata Knight Riders,bat,normal,0,Kolkata Knight Riders,41,0,JH Kallis,Sheikh Zayed Stadium,M Erasmus,RK Illingworth,31.0,32.0,1.314516129032258,1.0082644628099173,7.887096774193548,6.0495867768595035,8.0,5.0
458,459,2014,Sharjah,2014-04-17,Delhi Capitals,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,0,Royal Challengers Bangalore,0,8,YS Chahal,Sharjah Cricket Stadium,Aleem Dar,S Ravi,30.0,50.0,1.1507936507936507,1.4038461538461537,6.904761904761905,8.423076923076923,10.0,4.0
459,460,2014,Abu Dhabi,2014-04-18,Chennai Super Kings,Kings XI Punjab,Chennai Super Kings,bat,normal,0,Kings XI Punjab,0,6,GJ Maxwell,Sheikh Zayed Stadium,RK Illingworth,C Shamshuddin,70.0,64.0,1.6015625,1.7457627118644068,9.609375,10.47457627118644,14.0,6.0
460,461,2014,Abu Dhabi,2014-04-18,Sunrisers Hyderabad,Rajasthan Royals,Rajasthan Royals,field,normal,0,Rajasthan Royals,0,4,AM Rahane,Sheikh Zayed Stadium,BF Bowden,RK Illingworth,41.0,30.0,1.064,1.134453781512605,6.384,6.806722689075631,15.0,5.0
461,462,2014,Dubai,2014-04-19,Mumbai Indians,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,0,Royal Challengers Bangalore,0,7,PA Patel,Dubai International Cricket Stadium,Aleem Dar,AK Chaudhary,49.0,30.0,0.9274193548387096,1.0943396226415094,5.564516129032258,6.566037735849056,12.0,2.0
462,463,2014,Dubai,2014-04-19,Kolkata Knight Riders,Delhi Capitals,Kolkata Knight Riders,bat,normal,0,Delhi Capitals,0,4,JP Duminy,Dubai International Cricket Stadium,Aleem Dar,VA Kulkarni,31.0,49.0,1.2868217054263567,1.3916666666666666,7.72093023255814,8.35,14.0,11.0
463,464,2014,Sharjah,2014-04-20,Rajasthan Royals,Kings XI Punjab,Kings XI Punjab,field,normal,0,Kings XI Punjab,0,7,GJ Maxwell,Sharjah Cricket Stadium,BF Bowden,M Erasmus,54.0,39.0,1.5528455284552845,1.6637931034482758,9.317073170731707,9.982758620689657,6.0,9.0
464,465,2014,Abu Dhabi,2014-04-21,Chennai Super Kings,Delhi Capitals,Chennai Super Kings,bat,normal,0,Chennai Super Kings,93,0,SK Raina,Sheikh Zayed Stadium,RK Illingworth,C Shamshuddin,34.0,24.0,1.4390243902439024,0.875,8.634146341463415,5.25,6.0,2.0
465,466,2014,Sharjah,2014-04-22,Kings XI Punjab,Sunrisers Hyderabad,Sunrisers Hyderabad,field,normal,0,Kings XI Punjab,72,0,GJ Maxwell,Sharjah Cricket Stadium,M Erasmus,S Ravi,43.0,45.0,1.5564516129032258,1.0,9.338709677419354,6.0,9.0,8.0
466,467,2014,Dubai,2014-04-23,Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,field,normal,0,Chennai Super Kings,7,0,RA Jadeja,Dubai International Cricket Stadium,HDPK Dharmasena,RK Illingworth,51.0,38.0,1.1023622047244095,1.0991735537190082,6.6141732283464565,6.595041322314049,13.0,2.0
467,468,2014,Sharjah,2014-04-24,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,0,Kolkata Knight Riders,2,0,CA Lynn,Sharjah Cricket Stadium,Aleem Dar,VA Kulkarni,42.0,49.0,1.2096774193548387,1.2032520325203253,7.258064516129032,7.219512195121951,7.0,8.0
468,469,2014,Dubai,2014-04-25,Sunrisers Hyderabad,Delhi Capitals,Sunrisers Hyderabad,bat,normal,0,Sunrisers Hyderabad,4,0,AJ Finch,Dubai International Cricket Stadium,M Erasmus,S Ravi,55.0,44.0,1.5081967213114753,1.4634146341463414,9.049180327868854,8.78048780487805,5.0,6.0
469,470,2014,Dubai,2014-04-25,Mumbai Indians,Chennai Super Kings,Mumbai Indians,bat,normal,0,Chennai Super Kings,0,7,MM Sharma,Dubai International Cricket Stadium,BF Bowden,M Erasmus,31.0,51.0,1.175,1.2136752136752136,7.05,7.282051282051282,1.0,7.0
470,471,2014,Abu Dhabi,2014-04-26,Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals,field,normal,0,Rajasthan Royals,0,6,PV Tambe,Sheikh Zayed Stadium,HDPK Dharmasena,C Shamshuddin,22.0,36.0,0.7692307692307693,0.8875,4.615384615384616,5.325,4.0,3.0
471,472,2014,Abu Dhabi,2014-04-26,Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,0,Kings XI Punjab,23,0,Sandeep Sharma,Sheikh Zayed Stadium,HDPK Dharmasena,RK Illingworth,51.0,24.0,1.0819672131147542,0.9478260869565217,6.491803278688525,5.6869565217391305,5.0,10.0
472,473,2014,Sharjah,2014-04-27,Mumbai Indians,Delhi Capitals,Mumbai Indians,bat,normal,0,Delhi Capitals,0,6,M Vijay,Sharjah Cricket Stadium,Aleem Dar,VA Kulkarni,37.0,31.0,1.0080645161290323,1.105263157894737,6.048387096774193,6.631578947368421,11.0,9.0
473,474,2014,Sharjah,2014-04-27,Sunrisers Hyderabad,Chennai Super Kings,Sunrisers Hyderabad,bat,normal,0,Chennai Super Kings,0,5,DR Smith,Sharjah Cricket Stadium,AK Chaudhary,VA Kulkarni,37.0,47.0,1.1788617886178863,1.2478632478632479,7.073170731707317,7.487179487179487,16.0,4.0
474,475,2014,Dubai,2014-04-28,Royal Challengers Bangalore,Kings XI Punjab,Kings XI Punjab,field,normal,0,Kings XI Punjab,0,5,Sandeep Sharma,Dubai International Cricket Stadium,BF Bowden,S Ravi,44.0,33.0,1.024793388429752,1.0672268907563025,6.148760330578512,6.4033613445378155,10.0,12.0
475,476,2014,Abu Dhabi,2014-04-29,Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals,bat,tie,0,Rajasthan Royals,0,0,JP Faulkner,Sheikh Zayed Stadium,Aleem Dar,AK Chaudhary,45.0,33.0,1.2357723577235773,1.1968503937007875,7.414634146341464,7.181102362204724,5.0,11.0
476,477,2014,Dubai,2014-04-30,Sunrisers Hyderabad,Mumbai Indians,Mumbai Indians,field,normal,0,Sunrisers Hyderabad,15,0,B Kumar,Dubai International Cricket Stadium,HDPK Dharmasena,M Erasmus,44.0,32.0,1.376,1.246031746031746,8.256,7.476190476190476,18.0,9.0
477,478,2014,Ranchi,2014-05-02,Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,bat,normal,0,Chennai Super Kings,34,0,RA Jadeja,JSCA International Stadium Complex,AK Chaudhary,NJ Llong,43.0,39.0,1.4368932038834952,1.1067961165048543,8.62135922330097,6.640776699029126,6.0,4.0
