,id,season,city,date,team1,team2,toss_winner,toss_decision,result,dl_applied,winner,win_by_runs,win_by_wickets,player_of_match,venue,umpire1,umpire2,team1_powerplay,team2_powerplay,average_SR_inning1,average_SR_inning2,average_RR_inning1,average_RR_inning2,team2_extras,team1_extras
108,109,2008,Delhi,2008-05-24,Mumbai Indians,Delhi Capitals,Delhi Capitals,field,normal,0,Delhi Capitals,0,5,KD Karthik,Feroz Shah Kotla,BF Bowden,K Hariharan,60.0,56.0,1.3858267716535433,1.4916666666666667,8.31496062992126,8.95,9.0,3.0
109,110,2008,Chennai,2008-05-24,Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,bat,normal,0,Rajasthan Royals,10,0,JA Morkel,"MA Chidambaram Stadium, Chepauk",DJ Harper,SL Shastri,67.0,65.0,1.7295081967213115,1.5952380952380953,10.37704918032787,9.571428571428571,7.0,9.0
110,111,2008,Bengaluru,2008-05-03,Royal Challengers Bangalore,Sunrisers Hyderabad,Sunrisers Hyderabad,field,normal,0,Royal Challengers Bangalore,3,0,P Kumar,M Chinnaswamy Stadium,BR Doctrove,SL Shastri,46.0,33.0,1.278688524590164,1.2540983606557377,7.672131147540984,7.524590163934427,5.0,6.0
111,112,2008,Kolkata,2008-05-25,Kings XI Punjab,Kolkata Knight Riders,Kings XI Punjab,bat,normal,0,Kolkata Knight Riders,0,3,Umar Gul,Eden Gardens,SJ Davis,I Shivram,47.0,51.0,1.380952380952381,1.4344262295081966,8.285714285714286,8.606557377049182,11.0,9.0
112,113,2008,Jaipur,2008-05-26,Mumbai Indians,Rajasthan Royals,Rajasthan Royals,field,normal,0,Rajasthan Royals,0,5,Sohail Tanvir,Sawai Mansingh Stadium,BF Bowden,K Hariharan,29.0,36.0,1.141732283464567,1.1587301587301588,6.850393700787401,6.9523809523809526,13.0,16.0
113,114,2008,Hyderabad,2008-05-27,Sunrisers Hyderabad,Chennai Super Kings,Sunrisers Hyderabad,bat,normal,0,Chennai Super Kings,0,7,SK Raina,"Rajiv Gandhi International Stadium, Uppal",BG Jerling,AM Saheba,26.0,44.0,1.1666666666666667,1.1935483870967742,7.0,7.161290322580645,16.0,11.0
114,115,2008,Mumbai,2008-05-30,Rajasthan Royals,Delhi Capitals,Delhi Capitals,field,normal,0,Rajasthan Royals,105,0,SR Watson,Wankhede Stadium,BF Bowden,RE Koertzen,58.0,28.0,1.5609756097560976,0.87,9.365853658536585,5.22,4.0,7.0
115,116,2008,Mumbai,2008-05-31,Kings XI Punjab,Chennai Super Kings,Kings XI Punjab,bat,normal,0,Chennai Super Kings,0,9,M Ntini,Wankhede Stadium,Asad Rauf,DJ Harper,35.0,35.0,0.9180327868852459,1.2473118279569892,5.508196721311475,7.483870967741935,4.0,4.0
116,117,2008,Mumbai,2008-06-01,Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,field,normal,0,Rajasthan Royals,0,3,YK Pathan,Dr DY Patil Sports Academy,BF Bowden,RE Koertzen,42.0,41.0,1.314516129032258,1.3015873015873016,7.887096774193548,7.809523809523809,7.0,14.0
117,118,2009,Cape Town,2009-04-18,Mumbai Indians,Chennai Super Kings,Chennai Super Kings,field,normal,0,Mumbai Indians,19,0,SR Tendulkar,Newlands,BR Doctrove,K Hariharan,40.0,40.0,1.3636363636363635,1.1869918699186992,8.181818181818182,7.121951219512195,3.0,9.0
118,119,2009,Cape Town,2009-04-18,Royal Challengers Bangalore,Rajasthan Royals,Royal Challengers Bangalore,bat,normal,0,Royal Challengers Bangalore,75,0,R Dravid,Newlands,BR Doctrove,RB Tiffin,29.0,14.0,1.0901639344262295,0.5858585858585859,6.540983606557377,3.515151515151515,4.0,9.0
119,120,2009,Cape Town,2009-04-19,Kings XI Punjab,Delhi Capitals,Delhi Capitals,field,normal,1,Delhi Capitals,0,10,DL Vettori,Newlands,MR Benson,SD Ranade,67.0,58.0,1.368421052631579,1.8125,8.210526315789474,10.875,8.0,5.0
120,121,2009,Cape Town,2009-04-19,Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata Knight Riders,bat,normal,0,Sunrisers Hyderabad,0,8,RP Singh,Newlands,MR Benson,BR Doctrove,21.0,37.0,0.8487394957983193,1.3,5.0924369747899165,7.8,5.0,2.0
121,122,2009,Port Elizabeth,2009-04-20,Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,bat,normal,0,Chennai Super Kings,92,0,M Muralitharan,St George's Park,BG Jerling,SJA Taufel,68.0,46.0,1.4435483870967742,0.90625,8.661290322580644,5.4375,13.0,5.0
122,123,2009,Durban,2009-04-21,Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,1,Kolkata Knight Riders,11,0,CH Gayle,Kingsmead,DJ Harper,SD Ranade,46.0,60.0,1.2440944881889764,1.3166666666666667,7.464566929133857,7.9,12.0,4.0
123,124,2009,Cape Town,2009-04-22,Sunrisers Hyderabad,Royal Challengers Bangalore,Sunrisers Hyderabad,bat,normal,0,Sunrisers Hyderabad,24,0,AC Gilchrist,Newlands,M Erasmus,AM Saheba,62.0,31.0,1.5206611570247934,1.2698412698412698,9.12396694214876,7.619047619047619,9.0,7.0
124,125,2009,Durban,2009-04-23,Delhi Capitals,Chennai Super Kings,Delhi Capitals,bat,normal,0,Delhi Capitals,9,0,AB de Villiers,Kingsmead,BR Doctrove,SJA Taufel,59.0,61.0,1.56198347107438,1.44,9.37190082644628,8.64,1.0,15.0
125,126,2009,Cape Town,2009-04-23,Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders,field,tie,0,Rajasthan Royals,0,0,YK Pathan,Newlands,MR Benson,M Erasmus,54.0,38.0,1.1904761904761905,1.1538461538461537,7.142857142857143,6.9230769230769225,10.0,18.0
126,127,2009,Durban,2009-04-24,Royal Challengers Bangalore,Kings XI Punjab,Royal Challengers Bangalore,bat,normal,0,Kings XI Punjab,0,7,RS Bopara,Kingsmead,BR Doctrove,TH Wijewardene,49.0,44.0,1.3658536585365855,1.453781512605042,8.195121951219512,8.722689075630253,8.0,13.0
127,128,2009,Durban,2009-04-25,Sunrisers Hyderabad,Mumbai Indians,Sunrisers Hyderabad,bat,normal,0,Sunrisers Hyderabad,12,0,PP Ojha,Kingsmead,HDPK Dharmasena,SJA Taufel,55.0,50.0,1.344,1.2283464566929134,8.064,7.37007874015748,14.0,13.0
